iter	Passed	Remaining
472	616	686
473	616	684
474	617	682
475	617	680
476	618	677
477	618	675
478	619	673
479	620	671
480	620	669
481	621	667
482	621	665
483	622	663
484	622	661
485	623	659
486	624	658
487	625	656
488	626	654
489	626	652
490	627	650
491	627	648
492	628	646
493	628	644
494	629	642
495	630	640
496	630	638
497	631	636
498	631	634
499	632	632
500	632	630
501	633	628
502	633	626
503	634	624
504	634	622
505	635	620
506	636	618
507	636	616
508	637	614
509	637	612
510	638	610
511	639	609
512	640	607
513	640	606
514	641	604
515	642	602
516	642	600
517	643	598
518	643	596
519	644	594
520	644	592
521	645	590
522	645	589
523	646	587
524	647	585
525	647	583
526	648	581
527	648	579
528	649	578
529	649	576
530	650	574
531	651	572
532	651	570
533	652	569
534	652	567
535	653	565
536	654	564
537	655	563
538	656	561
539	657	560
540	658	558
541	658	556
542	659	555
543	660	553
544	661	551
545	661	550
546	662	548
547	662	546
548	663	544
549	663	543
550	664	541
551	664	539
552	665	537
553	666	536
554	666	534
555	667	532
556	668	531
557	669	530
558	670	528
559	671	527
560	671	525
561	672	524
562	673	522
563	673	520
564	674	519
565	674	517
566	675	515
567	676	514
568	676	512
569	677	510
570	677	509
571	678	507
572	678	505
573	679	504
574	680	502
575	680	500
576	681	499
577	681	497
578	682	496
579	683	494
580	684	493
581	685	492
582	685	490
583	686	489
584	687	487
585	687	485
586	688	484
587	688	482
588	689	480
589	689	479
590	690	477
591	691	476
592	691	474
593	692	473
594	692	471
595	693	469
596	693	468
597	694	466
598	694	465
599	695	463
600	696	462
601	698	462
602	700	461
603	701	459
604	701	458
605	702	456
606	703	455
607	703	453
608	704	452
609	706	451
610	707	450
611	708	449
612	709	447
613	710	446
614	710	445
615	711	443
616	713	442
617	714	441
618	715	440
619	716	439
620	717	437
621	718	436
622	718	435
623	719	433
624	720	432
625	721	430
626	722	429
627	722	428
628	723	426
629	724	425
630	725	424
631	727	423
632	727	422
633	728	420
634	729	419
635	730	418
636	731	416
637	731	415
638	732	413
639	733	412
640	734	411
641	734	409
642	735	408
643	736	407
644	736	405
645	737	404
646	738	402
647	739	401
648	741	400
649	742	399
650	743	398
651	743	396
652	744	395
653	745	394
654	746	393
655	748	392
656	748	390
657	749	389
658	750	388
659	750	386
660	751	385
661	752	383
662	752	382
663	753	381
664	753	379
665	755	378
666	755	377
667	756	376
668	757	374
669	758	373
670	758	371
671	759	370
672	759	369
673	760	367
674	760	366
675	761	364
676	761	363
677	762	362
678	763	360
679	763	359
680	764	358
681	765	356
682	766	355
683	766	354
684	767	352
685	767	351
686	768	350
687	770	349
688	771	348
689	772	346
690	772	345
691	773	344
692	773	342
693	774	341
694	774	340
695	775	338
696	776	337
697	777	336
698	777	334
699	779	333
700	779	332
701	780	331
702	781	329
703	781	328
704	782	327
705	784	326
706	786	325
707	787	324
708	789	323
709	790	322
710	791	321
711	792	320
712	793	319
713	794	318
714	795	317
715	796	315
716	796	314
717	798	313
718	799	312
719	801	311
720	803	310
721	804	309
722	805	308
723	806	307
724	807	306
725	808	305
726	809	303
727	809	302
728	815	303
729	816	302
730	818	301
731	819	300
732	820	298
733	821	297
734	822	296
735	823	295
736	825	294
737	828	294
738	829	293
739	830	291
740	831	290
741	832	289
742	834	288
743	834	287
744	835	286
745	841	286
746	843	285
747	844	284
748	845	283
749	846	282
750	847	280
751	848	279
752	849	278
753	850	277
754	852	276
755	855	275
756	856	274
757	858	274
758	859	273
759	860	271
760	861	270
761	862	269
762	863	268
763	864	267
764	866	266
765	867	264
766	869	264
767	871	263
768	872	262
769	873	260
770	874	259
771	875	258
772	876	257
773	877	256
774	877	254
775	878	253
776	883	253
777	884	252
778	886	251
779	887	250
780	889	249
781	889	248
782	890	246
783	891	245
784	892	244
785	894	243
786	896	242
787	897	241
788	898	240
789	899	239
790	900	238
791	901	236
792	902	235
793	903	234
794	904	233
795	905	231
796	906	230
797	907	229
798	910	228
799	911	227
800	913	226
801	914	225
802	914	224
803	915	223
804	916	222
805	917	220
806	918	219
807	919	218
808	919	217
809	920	216
810	922	215
811	925	214
812	926	213
813	927	211
814	928	210
815	929	209
816	930	208
817	931	207
818	932	206
819	932	204
820	933	203
821	934	202
822	935	201
823	940	200
824	941	199
825	942	198
826	943	197
827	944	196
828	945	195
829	946	193
830	947	192
831	948	191
832	949	190
833	950	189
834	953	188
835	954	187
836	955	185
837	955	184
838	956	183
839	957	182
840	959	181
841	960	180
842	960	178
843	961	177
844	962	176
845	965	175
846	967	174
847	968	173
848	968	172
849	969	171
850	970	169
851	972	168
852	973	167
853	974	166
854	975	165
855	976	164
856	980	163
857	981	162
858	983	161
859	985	160
860	986	159
861	988	158
862	989	157
863	991	155
864	998	155
865	999	154
866	1001	153
867	1002	152
868	1003	151
869	1004	150
870	1005	148
871	1006	147
872	1009	146
873	1011	145
874	1016	145
875	1018	144
876	1019	142
877	1020	141
878	1022	140
879	1024	139
880	1026	138
881	1027	137
882	1027	136
883	1028	135
884	1029	133
885	1030	132
886	1031	131
887	1032	130
888	1033	129
889	1036	128
890	1037	126
891	1039	125
892	1040	124
893	1041	123
894	1042	122
895	1044	121
896	1046	120
897	1046	118
898	1048	117
899	1054	117
900	1055	116
901	1057	114
902	1058	113
903	1059	112
904	1060	111
905	1060	110
906	1061	108
907	1062	107
908	1066	106
909	1068	105
910	1069	104
911	1070	103
912	1071	102
913	1072	100
914	1073	99
915	1074	98
916	1075	97
917	1075	96
918	1076	94
919	1077	93
920	1079	92
921	1081	91
922	1081	90
923	1082	89
924	1083	87
925	1084	86
926	1085	85
927	1086	84
928	1086	83
929	1087	81
930	1088	80
931	1089	79
932	1089	78
933	1090	77
934	1091	75
935	1092	74
936	1095	73
937	1096	72
938	1097	71
939	1097	70
940	1098	68
941	1099	67
942	1100	66
943	1101	65
944	1102	64
945	1103	63
946	1104	61
947	1105	60
948	1106	59
949	1107	58
950	1109	57
951	1110	55
952	1111	54
953	1112	53
954	1113	52
955	1114	51
956	1115	50
957	1116	48
958	1117	47
959	1118	46
960	1119	45
961	1120	44
962	1122	43
963	1123	41
964	1124	40
965	1125	39
966	1126	38
967	1127	37
968	1128	36
969	1129	34
970	1130	33
971	1131	32
972	1132	31
973	1133	30
974	1134	29
975	1135	27
976	1137	26
977	1138	25
978	1139	24
979	1140	23
980	1141	22
981	1141	20
982	1142	19
983	1143	18
984	1145	17
985	1146	16
986	1147	15
987	1148	13
988	1149	12
989	1150	11
990	1153	10
991	1155	9
992	1156	8
993	1157	6
994	1158	5
995	1159	4
996	1159	3
997	1161	2
998	1162	1
999	1163	0
